cuisine,Categories_final_edit,Date,Name,Street_Address,Amount,Description,City,State,Zip,Clarified_Name,Clarified_Purpose,complete_address,lat,lon
Italian,food,3/10/17,1048 Bar and Grill,1048 n main st,167.85,Pizza party,Randolph,MA,2368,,,"1048 Bar and Grill,1048 n main st,Randolph,MA",42.1910749,-71.0591569
Bars,Food,11/6/17,1048 Bar and Grill,1048 n main st,341,Fundraiser catering,Randolph,MA,2368,,,"1048 Bar and Grill,1048 n main st,Randolph,MA",42.1910749,-71.0591569
Bars,food,3/10/17,1048 Bar and Grill,1048 n main st,167.85,Pizza party,Randolph,MA,2368,,,"1048 Bar and Grill,1048 n main st,Randolph,MA",42.1910749,-71.0591569
Steakhouse,restaurant,10/21/16,110 Grill,77 w main st,238.69,dinner with constitients to discuss bill and issues,Hopkinton,ma,1748,,,"110 Grill,77 w main st,Hopkinton,ma",42.216875,-71.5406143
Steakhouse,Lunch with Jane Chertoff to discuss politics,1/19/17,110 Grill,60 highland common,53.98,Lunch with Jane Chertoff to discuss politics,Berlin,MA,1503,,,"110 Grill,60 highland common,Berlin,MA",42.393143,-71.5973918
Steakhouse,Lunch with Jane Chertoff to discuss politics,12/27/16,110 Grill,60 highland common,90.9,Lunch with Jane Chertoff to discuss politics,Berlin,MA,1503,,,"110 Grill,60 highland common,Berlin,MA",42.393143,-71.5973918
Steakhouse,restaurant,10/22/16,110 Grill,main st,91.5,meal with constituents to discuss upcoming legislation,Hopkinton,ma,1748,,,"110 Grill,main st,Hopkinton,ma",42.216875,-71.5406143
Steakhouse,Food,12/14/17,111 Chop House,111 shrewsbury st,187.25,Appreciation dinner for supporter,Worcester,MA,1604,,,"111 Chop House,111 shrewsbury st,Worcester,MA",42.2635249,-71.7895344
Steakhouse,Dinner with supporters to plan Fall fundraising event,10/5/16,111 Chop House,111 shrewsbury st,175.95,Dinner with supporters to plan Fall fundraising event,Worcester,MA,1604,,,"111 Chop House,111 shrewsbury st,Worcester,MA",42.2635249,-71.7895344
American,Restaurant,12/15/16,21st Amendment,,113.63,113.63,Boston,MA,,,Dinner,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,bev and food with advocates re :budget,4/26/17,21st Amendment,150 bowdoin st,326.5,bev and food with advocates re :budget,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,"Brockton Delegation, Lunch Mtg With Local Collage Re Budget, Bday Rep D",4/18/16,21st Amendment,150 bowdoin st,35.5,"Brockton delegation, lunch mtg with local collage re budget, bday rep d",Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Budget Week Lunch,4/27/16,21st Amendment,150 bowdoin st,50.29,Budget Week Lunch,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,4/15/16,21st Amendment,150 bowdoin st,129,BUDGET WEEK LUNCH WITH STAFF,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,2/5/16,21st Amendment,150 bowdoin st,36,Campaign Meeting,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,3/21/16,21st Amendment,150 bowdoin st,28.47,Campaign meeting re: 2016  funding plan.,Boston,MA,02108-2702,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Food,6/30/16,21st Amendment,150 bodoin st,57,Campaign team,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Colleague lunch to discuss caucus,1/24/17,21st Amendment,bowdoin st,298.72,Colleague lunch to discuss caucus,Boston,Ma,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Colleague lunch to discuss legislative issues,5/23/17,21st Amendment,,49.6,Colleague lunch to discuss legislative issues,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,restaurant,3/27/16,21st Amendment,150 bowdoin st,63.43,colleague meeting to discuss session,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,restaurants,1/19/16,21st Amendment,150 bowdoin st,67.96,Constituent Luncheon,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,restaurants,6/29/17,21st Amendment,150 bowdoin st,61.18,Constituent Luncheon,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,restaurant,12/1/17,21st Amendment,bowdoin st,53.23,constituent meeting,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,restaurants,8/8/16,21st Amendment,150 bowdoin st,39.7,Constituent Meeting lunch,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Constituent state house tour and lunch,7/24/17,21st Amendment,150 bowdoin st,78.13,Constituent state house tour and lunch,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Restaurant,9/21/17,21st Amendment,150 bowdoin st,19.98,Dinner alone,Boston,MA,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,restaurant,4/29/16,21st Amendment,,59.39,dinner for staff after formal session,Boston,Ma,2101,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
American,Dinner Meeting W/ Boston Delegation,12/21/17,21st Amendment,150 bowdoin st,107.02,Dinner Meeting W/ Boston Delegation,Boston,MA,2108,,,"21st Amenmendt,bowdoin st,Boston,MA",42.3583526,-71.0626843
